site,lib,destFolder,potok
https://grs2.ekmd.huji.ac.il/home/Education/EDU58-2021/,Final,238-EDU58-2021,238
https://grs2.ekmd.huji.ac.il/home/Education/EDU56-2021/,Final,245-EDU56-2021,245
https://grs2.ekmd.huji.ac.il/home/Education/EDU55-2021/,Final,245-EDU55-2021,245
https://grs2.ekmd.huji.ac.il/home/Education/EDU53-2021/,237,237-EDU53-2021,237 - מסלול מנהיגות בית ספרית
https://grs2.ekmd.huji.ac.il/home/Education/EDU52-2021/,Final,243-EDU52-2021,243
https://grs2.ekmd.huji.ac.il/home/Education/EDU51-2021/,Final,240-EDU51-2021,240
https://grs2.ekmd.huji.ac.il/home/Education/EDU50-2021/,239,239-EDU50-2021,239
https://grs2.ekmd.huji.ac.il/home/Education/EDU53-2021/,230,230-EDU53-2021,230
https://grs2.ekmd.huji.ac.il/home/Education/EDU53-2021/,241,241-EDU53-2021,241
https://grs2.ekmd.huji.ac.il/home/Education/EDU53-2021/,242,242-EDU53-2021,242